
0 Aditi_Sharma Rutkashi_Technologies_Pvt._Ltd. IT _Flutter_Developer 8.1 ME Flutter_ 7.6 Female 6.0
1 Rakesh_Patel Equbot_AI_India_Pvt._Ltd. Finance/IT Junior_Data_Scientist 9.2 CSE _Python_TensorFlow 39 Male 7.0
2 Priya_Verma Innoplexes Data_Sci Associate_Data_Engineer 7.8 ME _Tensorflow_Python 11 Female 3.0
3 Aman_Singh Career_Launcher Education Teaching 8.5 ECE __Communication-Skills_ 10.5 Male 6.0
4 Meera_Gupta Amway_Global_Services IT Data_Scientist 8.9 CSE _Python_TensorFlow 45 Female 5.0
5 Ankit_Kumar Indegene IT Software_Engineer 8.0 ECE _C_C++_Python-in-linux 14 Male 4.0
6 Kavita_Verma Innoplexes IT Software_Engineer 9.4 ECE _C_C++_Python-in-linux 15.6 Female 2.0
7 Rajesh_Singh Silicon_Labs Semiconductors Associate_Design_Engineer 7.7 ECE _C_C++_Python/Arduino 14 Male 5.0
8 Pooja_Sharma In2IT Consulting/IT Business_Analyst_Trainee 8.3 CE _Python_Tensor-Flow_Business-Intelligence 10.7 Female 6.0
9 Akash_Patel BSCPL Core Management_Trainee 8.7 ME _Communication-Skills_Business_Intelligence 8.6 Male 2.0
10 Nisha_Yadav Knowdis Data_Sci Data_Scientist 9.0 MME _Flask__Tensorflow_Python 11 Female 5.0
11 Deepak_Sharma Deolitte IT Analyst 7.6 MME _Python_TensorFlow 9.5 Male 6.0
12 Priyanka_Gupta J&F Core BIM_Engineer/Detailer 8.2 CE _AutoCAD_Revi_TEKLA 7.8 Female 3.0
13 Arjun_Singh J&F Core Structural_Engineer 8.8 ME _SCIA-Engineer_STAAD-Pro 10.5 Male 4.0
14 Shalini_Mishra MojoCare Data_Sci Product/Business_Analyst 9.3 EE _Python 22 Female 2.0
15 Vishal_Sharma Marquee_Semiconductors Semiconductors Designer/Verification_Engineer 7.9 ECE _XILINX_CADENCE_SYNOPSYS 13.5 Male 3.0
16 Reena_Verma DRIEMS Teaching Faculty-Electronics_and_TeleCommunication-Skills 8.6 EE _Communication-Skills_ 9.4 Female 1.0
17 Suresh_Yadav MojoCare Business Product_Manager 9.1 ECE _Software-in-Data-Analysis_Business-Intelligence 14.2 Male 4.0
18 Arvind_Kumar PhableCare IT Associate_Software_Engineer 7.5 ECE _C++_Python_Java 11 Male 2.0
19 Neha_Singh MojoCare IT SDE_(Software_Development) 8.4 CSE _Python_Django_ReactJS 12.3 Female 3.0
20 Priyanka_Gupta Byjus Education Student_Specialist 8.7 ECE _Communication-Skills 9.2 Female 0.0
21 Vikram_Sharma Rutkashi_Technologies_Pvt._Ltd. IT _Flutter_Developer 9.5 ECE _Flutter_ 11 Male 6.0
22 Priya_Patel Equbot_AI_India_Pvt._Ltd. Finance/IT Junior_Data_Scientist 7.8 EE _Python_TensorFlow 15 Female 7.0
23 Rohan_Singh Innoplexes Data_Sci Associate_Data_Engineer 8.2 CE _Tensorflow_Python 12.8 Male 6.0
24 Anjali_Verma Career_Launcher Education Teaching 8.9 MME _Communication-Skills 10.2 Female 0.0
25 Sameer_Kumar Amway_Global_Services IT Data_Scientist 9.3 EE _Python_TensorFlow 29 Male 6.0
26 Preeti_Gupta Indegene IT Software_Engineer 7.6 MME _C_C++_Python-in-linux 13.3 Female 6.0
27 Rajat_Singh Innoplexes IT Software_Engineer 8.5 EE _C_C++_Python-in-linux 12.7 Male 6.0
28 Aishwarya_Sharma Silicon_Labs Semiconductors Associate_Design_Engineer 8.8 CSE _C_C++_Python 16.5 Female 6.0
29 Manish_Patel In2IT Consulting/IT Business_Analyst_Trainee 9.0 ME __HTML_JavaScript_CSS 12.2 Male 6.0
30 Nandini_Verma BSCPL Core Management_Trainee 7.9 CSE  11.1 Female 0.0
31 Sanjay_Sharma Knowdis Data_Sci Data_Scientist 8.3 EE _Flask__Tensorflow_Python 39 Male 6.0
32 Ananya_Yadav Deolitte IT Analyst 9.2 CSE _Python_TensorFlow 28.2 Female 6.0
33 Ravi_Kumar J&F Core BIM_Engineer/Detailer 7.7 MME _AutoCAD_Revi_TEKLA 11.7 Male 0.0
